date,S&P500_close
2020/4/27,2878.48 
2020/4/28,2863.39 
2020/4/29,2939.51 
2020/4/30,2912.43 
2020/5/1,2830.71 
2020/5/4,2842.74 
2020/5/5,2868.44 
2020/5/6,2848.42 
2020/5/7,2881.19 
2020/5/8,2929.80 
2020/5/11,2930.32 
2020/5/12,2870.12 
2020/5/13,2820.00 
2020/5/14,2852.50 
2020/5/15,2863.70 
2020/5/18,2953.91 
2020/5/19,2922.94 
2020/5/20,2971.61 
2020/5/21,2948.51 
2020/5/22,2955.45 
2020/5/26,2991.77 
2020/5/27,3036.13 
2020/5/28,3029.73 
2020/5/29,3044.31 
2020/6/1,3055.73 
2020/6/2,3080.82 
2020/6/3,3122.87 
2020/6/4,3112.35 
2020/6/5,3193.93 
2020/6/8,3232.39 
2020/6/9,3207.18 
2020/6/10,3190.14 
2020/6/11,3002.10 
2020/6/12,3041.31 
2020/6/15,3066.59 
2020/6/16,3124.74 
2020/6/17,3113.49 
2020/6/18,3115.34 
2020/6/19,3097.74 
2020/6/22,3117.86 
2020/6/23,3131.29 
2020/6/24,3050.33 
2020/6/25,3083.76 
2020/6/26,3009.05 
2020/6/29,3053.24 
2020/6/30,3100.29 
2020/7/1,3115.86 
2020/7/2,3130.01 
2020/7/6,3179.72 
2020/7/7,3145.32 
2020/7/8,3169.94 
2020/7/9,3152.05 
2020/7/10,3185.04 
2020/7/13,3155.22 
2020/7/14,3197.52 
2020/7/15,3226.56 
2020/7/16,3215.57 
2020/7/17,3224.73 
2020/7/20,3251.84 
2020/7/21,3257.30 
2020/7/22,3276.02 
2020/7/23,3235.66 
2020/7/24,3215.63 
2020/7/27,3239.41 
2020/7/28,3218.44 
2020/7/29,3258.44 
2020/7/30,3246.22 
2020/7/31,3271.12 
2020/8/3,3294.61 
2020/8/4,3306.51 
2020/8/5,3327.77 
2020/8/6,3349.16 
2020/8/7,3351.28 
2020/8/10,3360.47 
2020/8/11,3333.69 
2020/8/12,3380.35 
2020/8/13,3373.43 
2020/8/14,3372.85 
2020/8/17,3381.99 
2020/8/18,3389.78 
2020/8/19,3374.85 
2020/8/20,3385.51 
2020/8/21,3397.16 
2020/8/24,3431.28 
2020/8/25,3443.62 
2020/8/26,3478.73 
2020/8/27,3484.55 
2020/8/28,3508.01 
2020/8/31,3500.31 
2020/9/1,3526.65 
2020/9/2,3580.84 
2020/9/3,3455.06 
2020/9/4,3426.96 
2020/9/8,3331.84 
2020/9/9,3398.96 
2020/9/10,3339.19 
2020/9/11,3340.97 
2020/9/14,3383.54 
2020/9/15,3401.20 
2020/9/16,3385.49 
2020/9/17,3357.01 
2020/9/18,3319.47 
2020/9/21,3281.06 
2020/9/22,3315.57 
2020/9/23,3236.92 
2020/9/24,3246.59 
2020/9/25,3298.46 
2020/9/28,3351.60 
2020/9/29,3335.47 
2020/9/30,3363.00 
2020/10/1,3380.80 
2020/10/2,3348.44 
2020/10/5,3408.63 
2020/10/6,3360.95 
2020/10/7,3419.45 
2020/10/8,3446.83 
2020/10/9,3477.13 
2020/10/12,3534.22 
2020/10/13,3511.93 
2020/10/14,3488.67 
2020/10/15,3483.34 
2020/10/16,3483.81 
2020/10/19,3426.92 
2020/10/20,3443.12 
2020/10/21,3435.56 
2020/10/22,3453.49 
2020/10/23,3465.39 
2020/10/26,3400.97 
2020/10/27,3390.68 
2020/10/28,3271.03 
2020/10/29,3310.11 
2020/10/30,3269.96 
2020/11/2,3310.24 
2020/11/3,3369.16 
2020/11/4,3443.44 
2020/11/5,3510.45 
2020/11/6,3509.44 
2020/11/9,3550.50 
2020/11/10,3545.53 
2020/11/11,3572.66 
2020/11/12,3537.01 
2020/11/13,3585.15 
2020/11/16,3626.91 
2020/11/17,3609.53 
2020/11/18,3567.79 
2020/11/19,3581.87 
2020/11/20,3557.54 
2020/11/23,3577.59 
2020/11/24,3635.41 
2020/11/25,3629.65 
2020/11/27,3638.35 
2020/11/30,3621.63 
2020/12/1,3662.45 
2020/12/2,3669.01 
2020/12/3,3666.72 
2020/12/4,3699.12 
2020/12/7,3691.96 
2020/12/8,3702.25 
2020/12/9,3672.82 
2020/12/10,3668.10 
2020/12/11,3663.46 
2020/12/14,3647.49 
2020/12/15,3694.62 
2020/12/16,3701.17 
2020/12/17,3722.48 
2020/12/18,3709.41 
2020/12/21,3694.92 
2020/12/22,3687.26 
2020/12/23,3690.01 
2020/12/24,3703.06 
2020/12/28,3735.36 
2020/12/29,3727.04 
2020/12/30,3732.04 
2020/12/31,3756.07 
2021/1/4,3700.65 
2021/1/5,3726.86 
2021/1/6,3748.14 
2021/1/7,3803.79 
2021/1/8,3824.68 
2021/1/11,3799.61 
2021/1/12,3801.19 
2021/1/13,3809.84 
2021/1/14,3795.54 
2021/1/15,3768.25 
2021/1/19,3798.91 
2021/1/20,3851.85 
2021/1/21,3853.07 
2021/1/22,3841.47 
2021/1/25,3855.36 
2021/1/26,3849.62 
2021/1/27,3750.77 
2021/1/28,3787.38 
2021/1/29,3714.24 
2021/2/1,3773.86 
2021/2/2,3826.31 
2021/2/3,3830.17 
2021/2/4,3871.74 
2021/2/5,3886.83 
2021/2/8,3915.59 
2021/2/9,3911.23 
2021/2/10,3909.88 
2021/2/11,3916.38 
2021/2/12,3934.83 
2021/2/16,3932.59 
2021/2/17,3931.33 
2021/2/18,3913.97 
2021/2/19,3906.71 
2021/2/22,3876.50 
2021/2/23,3881.37 
2021/2/24,3925.43 
2021/2/25,3829.34 
2021/2/26,3811.15 
2021/3/1,3901.82 
2021/3/2,3870.29 
2021/3/3,3819.72 
2021/3/4,3768.47 
2021/3/5,3841.94 
2021/3/8,3821.35 
2021/3/9,3875.44 
2021/3/10,3898.81 
2021/3/11,3939.34 
2021/3/12,3943.34 
2021/3/15,3968.94 
2021/3/16,3962.71 
2021/3/17,3974.12 
2021/3/18,3915.46 
2021/3/19,3913.10 
2021/3/22,3940.59 
2021/3/23,3910.52 
2021/3/24,3889.14 
2021/3/25,3909.52 
2021/3/26,3974.54 
2021/3/29,3971.09 
2021/3/30,3958.55 
2021/3/31,3972.89 
2021/4/1,4019.87 
2021/4/5,4077.91 
2021/4/6,4073.94 
2021/4/7,4079.95 
2021/4/8,4097.17 
2021/4/9,4128.80 
2021/4/12,4127.99 
2021/4/13,4141.59 
2021/4/14,4124.66 
2021/4/15,4170.42 
2021/4/16,4185.47 
2021/4/19,4163.26 
2021/4/20,4134.94 
2021/4/21,4173.42 
2021/4/22,4134.98 
2021/4/23,4180.17 
2021/4/26,4187.62 
2021/4/27,4186.72 
2021/4/28,4183.18 
2021/4/29,4211.47 
2021/4/30,4181.17 
2021/5/3,4192.66 
2021/5/4,4164.66 
2021/5/5,4167.59 
2021/5/6,4201.62 
2021/5/7,4232.60 
2021/5/10,4188.43 
2021/5/11,4152.10 
2021/5/12,4063.04 
2021/5/13,4112.50 
2021/5/14,4173.85 
2021/5/17,4163.29 
2021/5/18,4127.83 
2021/5/19,4115.68 
2021/5/20,4159.12 
2021/5/21,4155.86 
2021/5/24,4197.05 
2021/5/25,4188.13 
2021/5/26,4195.99 
2021/5/27,4200.88 
2021/5/28,4204.11 
2021/6/1,4202.04 
2021/6/2,4208.12 
2021/6/3,4192.85 
2021/6/4,4229.89 
2021/6/7,4226.52 
2021/6/8,4227.26 
2021/6/9,4219.55 
2021/6/10,4239.18 
2021/6/11,4247.44 
2021/6/14,4255.15 
2021/6/15,4246.59 
2021/6/16,4223.70 
2021/6/17,4221.86 
2021/6/18,4166.45 
2021/6/21,4224.79 
2021/6/22,4246.44 
2021/6/23,4241.84 
2021/6/24,4266.49 
2021/6/25,4280.70 
2021/6/28,4290.61 
2021/6/29,4291.80 
2021/6/30,4297.50 
2021/7/1,4319.94 
2021/7/2,4352.34 
2021/7/6,4343.54 
2021/7/7,4358.13 
2021/7/8,4320.82 
2021/7/9,4369.55 
2021/7/12,4384.63 
2021/7/13,4369.21 
2021/7/14,4374.30 
2021/7/15,4360.03 
2021/7/16,4327.16 
2021/7/19,4258.49 
2021/7/20,4323.06 
2021/7/21,4358.69 
2021/7/22,4367.48 
2021/7/23,4411.79 
2021/7/26,4422.30 
2021/7/27,4401.46 
2021/7/28,4400.64 
2021/7/29,4419.15 
2021/7/30,4395.26 
2021/8/2,4387.16 
2021/8/3,4423.15 
2021/8/4,4402.66 
2021/8/5,4429.10 
2021/8/6,4436.52 
2021/8/9,4432.35 
2021/8/10,4436.75 
2021/8/11,4447.70 
2021/8/12,4460.83 
2021/8/13,4468.00 
2021/8/16,4479.71 
2021/8/17,4448.08 
2021/8/18,4400.27 
2021/8/19,4405.80 
2021/8/20,4441.67 
2021/8/23,4479.53 
2021/8/24,4486.23 
2021/8/25,4496.19 
2021/8/26,4470.00 
2021/8/27,4509.37 
2021/8/30,4528.79 
2021/8/31,4522.68 
2021/9/1,4524.09 
2021/9/2,4536.95 
2021/9/3,4535.43 
2021/9/7,4520.03 
2021/9/8,4514.07 
2021/9/9,4493.28 
2021/9/10,4458.58 
2021/9/13,4468.73 
2021/9/14,4443.05 
2021/9/15,4480.70 
2021/9/16,4473.75 
2021/9/17,4432.99 
2021/9/20,4357.73 
2021/9/21,4354.19 
2021/9/22,4395.64 
2021/9/23,4448.98 
2021/9/24,4455.48 
2021/9/27,4443.11 
2021/9/28,4352.63 
2021/9/29,4359.46 
2021/9/30,4307.54 
2021/10/1,4357.04 
2021/10/4,4300.46 
2021/10/5,4345.72 
2021/10/6,4363.55 
2021/10/7,4399.76 
2021/10/8,4391.34 
2021/10/11,4361.19 
2021/10/12,4350.65 
2021/10/13,4363.80 
2021/10/14,4438.26 
2021/10/15,4471.37 
2021/10/18,4486.46 
2021/10/19,4519.63 
2021/10/20,4536.19 
2021/10/21,4549.78 
2021/10/22,4544.90 
2021/10/25,4566.48 
2021/10/26,4574.79 
2021/10/27,4551.68 
2021/10/28,4596.42 
2021/10/29,4605.38 
2021/11/1,4613.67 
2021/11/2,4630.65 
2021/11/3,4660.57 
2021/11/4,4680.06 
2021/11/5,4697.53 
2021/11/8,4701.70 
2021/11/9,4685.25 
2021/11/10,4646.71 
2021/11/11,4649.27 
2021/11/12,4682.85 
2021/11/15,4682.80 
2021/11/16,4700.90 
2021/11/17,4688.67 
2021/11/18,4704.54 
2021/11/19,4697.96 
2021/11/22,4682.94 
2021/11/23,4690.70 
2021/11/24,4701.46 
2021/11/26,4594.62 
2021/11/29,4655.27 
2021/11/30,4567.00 
2021/12/1,4513.04 
2021/12/2,4577.10 
2021/12/3,4538.43 
2021/12/6,4591.67 
2021/12/7,4686.75 
2021/12/8,4701.21 
2021/12/9,4667.45 
2021/12/10,4712.02 
2021/12/13,4668.97 
2021/12/14,4634.09 
2021/12/15,4709.85 
2021/12/16,4668.67 
2021/12/17,4620.64 
2021/12/20,4568.02 
2021/12/21,4649.23 
2021/12/22,4696.56 
2021/12/23,4725.79 
2021/12/27,4791.19 
2021/12/28,4786.35 
2021/12/29,4793.06 
2021/12/30,4778.73 
2021/12/31,4766.18 
2022/1/3,4796.56 
2022/1/4,4793.54 
2022/1/5,4700.58 
2022/1/6,4696.05 
2022/1/7,4677.03 
2022/1/10,4670.29 
2022/1/11,4713.07 
2022/1/12,4726.35 
2022/1/13,4659.03 
2022/1/14,4662.85 
2022/1/18,4577.11 
2022/1/19,4532.76 
2022/1/20,4482.73 
2022/1/21,4397.94 
2022/1/24,4410.13 
2022/1/25,4356.45 
2022/1/26,4349.93 
2022/1/27,4326.51 
2022/1/28,4431.85 
2022/1/31,4515.55 
2022/2/1,4546.54 
2022/2/2,4589.38 
2022/2/3,4477.44 
2022/2/4,4500.53 
2022/2/7,4483.87 
2022/2/8,4521.54 
2022/2/9,4587.18 
2022/2/10,4504.08 
2022/2/11,4418.64 
2022/2/14,4401.67 
2022/2/15,4471.07 
2022/2/16,4475.01 
2022/2/17,4380.26 
2022/2/18,4348.87 
2022/2/22,4304.76 
2022/2/23,4225.50 
2022/2/24,4288.70 
2022/2/25,4384.65 
2022/2/28,4373.94 
2022/3/1,4306.26 
2022/3/2,4386.54 
2022/3/3,4363.49 
2022/3/4,4328.87 
2022/3/7,4201.09 
2022/3/8,4170.70 
2022/3/9,4277.88 
2022/3/10,4259.52 
2022/3/11,4204.31 
2022/3/14,4173.11 
2022/3/15,4262.45 
2022/3/16,4357.86 
2022/3/17,4411.67 
2022/3/18,4463.12 
2022/3/21,4461.18 
2022/3/22,4511.61 
2022/3/23,4456.24 
2022/3/24,4520.16 
2022/3/25,4543.06 
2022/3/28,4575.52 
2022/3/29,4631.60 
2022/3/30,4602.45 
2022/3/31,4530.41 
2022/4/1,4545.86 
2022/4/4,4582.64 
2022/4/5,4525.12 
2022/4/6,4481.15 
2022/4/7,4500.21 
2022/4/8,4488.28 
2022/4/11,4412.53 
2022/4/12,4397.45 
2022/4/13,4446.59 
2022/4/14,4392.59 
2022/4/18,4391.69 
2022/4/19,4462.21 
2022/4/20,4459.45 
2022/4/21,4393.66 
2022/4/22,4271.78 
2022/4/25,4296.12 
2022/4/26,4175.20 
2022/4/27,4183.96 
2022/4/28,4287.50 
2022/4/29,4131.93 
2022/5/2,4155.38 
2022/5/3,4175.48 
2022/5/4,4300.17 
2022/5/5,4146.87 
2022/5/6,4123.34 
2022/5/9,3991.24 
2022/5/10,4001.05 
2022/5/11,3935.18 
2022/5/12,3930.08 
2022/5/13,4023.89 
2022/5/16,4008.01 
2022/5/17,4088.85 
2022/5/18,3923.68 
2022/5/19,3900.79 
2022/5/20,3901.36 
2022/5/23,3973.75 
2022/5/24,3941.48 
2022/5/25,3978.73 
2022/5/26,4057.84 
2022/5/27,4158.24 
2022/5/31,4132.15 
2022/6/1,4101.23 
2022/6/2,4176.82 
2022/6/3,4108.54 
2022/6/6,4121.43 
2022/6/7,4160.68 
2022/6/8,4115.77 
2022/6/9,4017.82 
2022/6/10,3900.86 
2022/6/13,3749.63 
2022/6/14,3735.48 
2022/6/15,3789.99 
2022/6/16,3666.77 
2022/6/17,3674.84 
2022/6/21,3764.79 
2022/6/22,3759.89 
2022/6/23,3795.73 
2022/6/24,3911.74 
2022/6/27,3900.11 
2022/6/28,3821.55 
2022/6/29,3818.83 
2022/6/30,3785.38 
2022/7/1,3825.33 
2022/7/5,3831.39 
2022/7/6,3845.08 
2022/7/7,3902.62 
2022/7/8,3899.38 
2022/7/11,3854.43 
2022/7/12,3818.80 
2022/7/13,3801.78 
2022/7/14,3790.38 
2022/7/15,3863.16 
2022/7/18,3830.85 
2022/7/19,3936.69 
2022/7/20,3959.90 
2022/7/21,3998.95 
2022/7/22,3961.63 
2022/7/25,3966.84 
2022/7/26,3921.05 
2022/7/27,4023.61 
2022/7/28,4072.43 
2022/7/29,4130.29 
2022/8/1,4118.63 
2022/8/2,4091.19 
2022/8/3,4155.17 
2022/8/4,4151.94 
2022/8/5,4145.19 
2022/8/8,4140.06 
2022/8/9,4122.47 
2022/8/10,4210.24 
2022/8/11,4207.27 
2022/8/12,4280.15 
2022/8/15,4297.14 
2022/8/16,4305.20 
2022/8/17,4274.04 
2022/8/18,4283.74 
2022/8/19,4228.48 
2022/8/22,4137.99 
2022/8/23,4128.73 
2022/8/24,4140.77 
2022/8/25,4199.12 
2022/8/26,4057.66 
2022/8/29,4030.61 
2022/8/30,3986.16 
2022/8/31,3955.00 
2022/9/1,3966.85 
2022/9/2,3924.26 
2022/9/6,3908.19 
2022/9/7,3979.87 
2022/9/8,4006.18 
2022/9/9,4067.36 
2022/9/12,4110.41 
2022/9/13,3932.69 
2022/9/14,3946.01 
2022/9/15,3901.35 
2022/9/16,3873.33 
2022/9/19,3899.89 
2022/9/20,3855.93 
2022/9/21,3789.93 
2022/9/22,3757.99 
2022/9/23,3693.23 
2022/9/26,3655.04 
2022/9/27,3647.29 
2022/9/28,3719.04 
2022/9/29,3640.47 
2022/9/30,3585.62 
2022/10/3,3678.43 
2022/10/4,3790.93 
2022/10/5,3783.28 
2022/10/6,3744.52 
2022/10/7,3639.66 
2022/10/10,3612.39 
2022/10/11,3588.84 
2022/10/12,3577.03 
2022/10/13,3669.91 
2022/10/14,3583.07 
2022/10/17,3677.95 
2022/10/18,3719.98 
2022/10/19,3695.16 
2022/10/20,3665.78 
2022/10/21,3752.75 
2022/10/24,3797.34 
2022/10/25,3859.11 
