Dates,Close Price,STOXX 600
Jun-01-2021,20.9,450.1
Jun-02-2021,21,451.34
Jun-03-2021,20.74,450.79
Jun-04-2021,20.92,452.57
Jun-07-2021,21.36,453.56
Jun-08-2021,21.5,454.01
Jun-09-2021,21.38,454.44
Jun-10-2021,21.14,454.56
Jun-11-2021,21.34,457.51
Jun-14-2021,21.36,458.32
Jun-15-2021,20.68,458.81
Jun-16-2021,20.68,459.86
Jun-17-2021,20.28,459.33
Jun-18-2021,20.42,452.05
Jun-21-2021,20.58,455.23
Jun-22-2021,20.86,456.42
Jun-23-2021,21.02,453.1
Jun-24-2021,21.2,457.04
Jun-25-2021,20.9,457.63
Jun-28-2021,21,454.94
Jun-29-2021,21.08,456.37
Jun-30-2021,20.84,452.84
Jul-01-2021,21.12,455.63
Jul-02-2021,22.4,456.81
Jul-05-2021,21.68,458.36
Jul-06-2021,21.5,455.98
Jul-07-2021,21.68,459.53
Jul-08-2021,20.44,451.61
Jul-09-2021,20.62,457.67
Jul-12-2021,20.54,460.83
Jul-13-2021,20.74,460.96
Jul-14-2021,20.8,460.56
Jul-15-2021,20.84,456.2
Jul-16-2021,20.82,454.74
Jul-19-2021,20.3,444.29
Jul-20-2021,20.5,446.61
Jul-21-2021,20.86,453.97
Jul-22-2021,21.04,456.53
Jul-23-2021,21.08,461.51
Jul-26-2021,20.68,461.14
Jul-27-2021,22.36,458.65
Jul-28-2021,23.5,461.7
Jul-29-2021,23.08,463.84
Jul-30-2021,23.54,461.74
Aug-02-2021,23.42,464.45
Aug-03-2021,23.28,465.38
Aug-04-2021,23.52,468.22
Aug-05-2021,23.72,469.96
Aug-06-2021,23.34,469.97
Aug-09-2021,23.1,470.68
Aug-10-2021,23.12,472.32
Aug-11-2021,23.12,474.32
Aug-12-2021,22.96,474.84
Aug-13-2021,22.88,475.83
Aug-16-2021,22.68,473.45
Aug-17-2021,22.58,473.78
Aug-18-2021,22.72,474.42
Aug-19-2021,22.1,467.24
Aug-20-2021,22,468.8
Aug-23-2021,22.8,471.88
Aug-24-2021,23.18,471.79
Aug-25-2021,23.38,471.84
Aug-26-2021,23.18,470.34
Aug-27-2021,23.36,472.34
Aug-30-2021,23.78,472.68
Aug-31-2021,23.4,470.88
Sep-01-2021,21.68,473.12
Sep-02-2021,22.1,474.6
Sep-03-2021,22.28,471.93
Sep-07-2021,21.64,472.87
Sep-08-2021,21.3,467.87
Sep-09-2021,21,467.57
Sep-10-2021,20.5,466.34
Sep-13-2021,20.18,467.69
Sep-14-2021,20.02,467.65
Sep-15-2021,19.49,463.91
Sep-16-2021,23.28,465.95
Sep-17-2021,22.36,461.84
Sep-20-2021,22.72,454.12
Sep-21-2021,22.72,458.68
Sep-22-2021,22.94,463.2
Sep-23-2021,22.9,467.5
Sep-24-2021,22.98,463.29
Sep-27-2021,23,462.42
Sep-28-2021,22.9,452.35
Sep-29-2021,22.96,455.03
Sep-30-2021,22.84,454.81
Oct-01-2021,23,452.9
Oct-04-2021,22.62,450.77
Oct-05-2021,22.74,456.03
Oct-06-2021,22.68,451.33
Oct-07-2021,22.66,458.57
Oct-08-2021,22.64,457.29
Oct-12-2021,22.7,457.21
Oct-13-2021,22.78,460.39
Oct-14-2021,22.7,465.92
Oct-15-2021,22.7,469.39
Oct-18-2021,22.7,467.04
Oct-19-2021,22.7,468.58
Oct-20-2021,22.62,470.07
Oct-21-2021,22.68,469.71
Oct-22-2021,22.66,471.88
Oct-25-2021,22.64,472.21
Oct-26-2021,22.66,475.74
Oct-27-2021,22.66,474.04
Oct-28-2021,22.66,475.16
Oct-29-2021,22.84,475.51
Nov-01-2021,22.92,478.87
Nov-02-2021,22.98,479.53
Nov-03-2021,22.92,481.22
Nov-04-2021,22.86,483.21
Nov-05-2021,22.88,483.44
Nov-08-2021,22.72,483.61
Nov-09-2021,22.86,482.71
Nov-10-2021,23,483.76
Nov-12-2021,23.06,486.75
Nov-15-2021,23.1,488.43
Nov-16-2021,23.34,489.27
Nov-17-2021,22.86,489.95
Nov-18-2021,22.98,487.7
Nov-19-2021,22.86,486.08
Nov-22-2021,23.1,485.46
Nov-23-2021,23.22,479.25
Nov-24-2021,23.24,479.69
Nov-26-2021,22.98,464.05
Nov-29-2021,22.96,467.24
Nov-30-2021,22.86,462.96
Dec-01-2021,23.24,470.86
Dec-02-2021,22.92,465.44
Dec-03-2021,22.98,462.77
Dec-06-2021,23.02,468.71
Dec-07-2021,23.16,480.18
Dec-08-2021,23.08,477.36
Dec-09-2021,24.22,476.99
Dec-10-2021,24.2,475.56
Dec-13-2021,24.18,473.53
Dec-14-2021,24.14,469.56
Dec-15-2021,24.12,470.76
Dec-16-2021,24.2,476.56
Dec-17-2021,24.1,473.9
Dec-20-2021,24.24,467.35
Dec-21-2021,24.42,473.99
Dec-22-2021,24.5,478.36
Dec-23-2021,24.4,483.01
Dec-24-2021,24.46,482.51
Dec-27-2021,24.44,485.49
Dec-28-2021,24.44,488.5
Dec-29-2021,24.44,487.98
Dec-30-2021,24.44,488.71
Dec-31-2021,24.38,487.8
Jan-03-2022,24.38,489.99
Jan-04-2022,24.4,494.02
Jan-05-2022,24.42,494.35
Jan-06-2022,24.4,488.16
Jan-07-2022,24.3,486.25
Jan-10-2022,24.22,479.04
Jan-11-2022,24.3,483.08
Jan-12-2022,24.28,486.2
Jan-13-2022,24.34,486.05
Jan-14-2022,24.24,481.16
Jan-17-2022,24.24,484.51
Jan-18-2022,24.22,479.79
Jan-19-2022,24.26,480.9
Jan-20-2022,24.2,483.35
Jan-21-2022,24.16,474.44
Jan-24-2022,24.04,456.36
Jan-25-2022,24.08,459.59
Jan-26-2022,24.18,467.31
Jan-27-2022,24.26,470.33
Jan-28-2022,24.12,465.55
Jan-31-2022,24.14,468.88
Feb-01-2022,24.22,474.86
Feb-02-2022,24.14,477.01
Feb-03-2022,24.18,468.63
Feb-04-2022,24.12,462.15
Feb-07-2022,24.12,465.28
Feb-08-2022,24.16,465.34
Feb-09-2022,24.2,473.33
Feb-10-2022,24.2,472.35
Feb-11-2022,24.26,469.57
Feb-14-2022,24.16,460.96
Feb-15-2022,24.12,467.56
Feb-16-2022,24.06,467.77
Feb-17-2022,24.14,464.55
Feb-18-2022,25.3,460.81
Feb-21-2022,25.42,454.81
Feb-22-2022,25.46,455.12
Feb-23-2022,25.4,453.86
Feb-24-2022,25.32,438.96
Feb-25-2022,25.4,453.53
Feb-28-2022,25.38,453.11
Mar-01-2022,25.46,442.37
Mar-02-2022,25.32,446.33
Mar-03-2022,25.3,437.36
Mar-04-2022,25.28,421.78
Mar-07-2022,25.38,417.13
Mar-08-2022,25.24,415.01
Mar-09-2022,25.38,434.45
Mar-10-2022,25.3,427.12
Mar-11-2022,25.42,431.17
Mar-14-2022,25.38,436.35
Mar-15-2022,25.32,435.12
Mar-16-2022,25.32,448.45
Mar-17-2022,25.3,450.49
Mar-18-2022,25.3,454.6
Mar-21-2022,25.3,454.79
Mar-22-2022,25.3,458.65
Mar-23-2022,25.3,454.03
Mar-24-2022,25.3,453.07
Mar-25-2022,25.34,453.55
Mar-28-2022,25.3,454.17
Mar-29-2022,25.38,462.09
Mar-30-2022,25.34,460.19
Mar-31-2022,25.34,455.86
Apr-01-2022,25.36,458.34
Apr-04-2022,25.32,462.19
Apr-05-2022,25.36,463.07
Apr-06-2022,25.36,455.97
Apr-07-2022,25.34,455.02
Apr-08-2022,25.34,460.97
Apr-11-2022,25.38,458.26
Apr-12-2022,25.38,456.65
Apr-13-2022,25.46,456.78
Apr-14-2022,25.44,459.82
Apr-15-2022,0,0
Apr-18-2022,0,0
Apr-19-2022,25.46,456.28
Apr-20-2022,25.44,460.1
Apr-21-2022,25.42,461.57
Apr-22-2022,25.44,453.31
Apr-25-2022,24.96,445.11
Apr-26-2022,25,441.1
Apr-27-2022,24.98,444.31
Apr-28-2022,24.96,447.07
Apr-29-2022,24.96,450.39
May-02-2022,25.02,443.83
May-03-2022,25,446.2
May-04-2022,24.98,441.37
May-05-2022,24.96,438.26
May-06-2022,24.96,429.91
May-09-2022,24.98,417.46
May-10-2022,25,420.29
May-11-2022,24.96,427.59
May-12-2022,24.96,424.4
May-13-2022,24.96,433.48
May-16-2022,24.98,433.67
May-17-2022,24.98,438.97
May-18-2022,25,433.95
May-19-2022,24.98,427.99
May-20-2022,24.98,431.1
May-23-2022,24.94,436.54
May-24-2022,24.96,431.58
May-25-2022,24.94,434.31
May-26-2022,25,437.71
May-27-2022,25.06,443.93
May-30-2022,24.98,446.57
May-31-2022,25,443.35
Jun-01-2022,25.04,438.72
Jun-02-2022,24.98,441.23
Jun-03-2022,24.96,440.09
Jun-06-2022,24.96,444.12
Jun-07-2022,25.04,442.88
Jun-08-2022,24.78,440.37
Jun-09-2022,24.5,434.38
Jun-10-2022,23.62,422.71
Jun-13-2022,23.72,412.52
Jun-14-2022,23.3,407.32
Jun-15-2022,23.3,413.1
Jun-16-2022,22.74,402.88
Jun-17-2022,21.26,403.25
Jun-20-2022,19.42,407.14
Jun-21-2022,18.66,408.58
Jun-22-2022,17.59,405.74
Jun-23-2022,17.25,402.4
Jun-24-2022,17,412.93
Jun-27-2022,16.66,415.09
Jun-28-2022,16.72,416.19
Jun-29-2022,16.51,413.42
Jun-30-2022,16.41,407.2
Jul-01-2022,16.81,407.13
Jul-04-2022,17.54,409.31
Jul-05-2022,16.8,400.68
Jul-06-2022,17.11,407.34
Jul-07-2022,17.28,415.01
Jul-08-2022,17.64,417.12
Jul-11-2022,17.74,415.02
Jul-12-2022,17.16,417.04
Jul-13-2022,17.15,412.81
Jul-14-2022,17.06,406.5
Jul-15-2022,17.2,413.78
Jul-18-2022,17.4,417.63
Jul-19-2022,17.46,423.41
Jul-20-2022,17.39,422.51
Jul-21-2022,17.91,424.39
Jul-22-2022,17.81,425.71
Jul-25-2022,17.97,426.25
Jul-26-2022,18.34,426.13
Jul-27-2022,19.23,428.12
Jul-28-2022,18.1,432.77
Jul-29-2022,18.31,438.29
Aug-01-2022,18.66,437.46
Aug-02-2022,17.75,436.07
Aug-03-2022,17.9,438.29
Aug-04-2022,17.52,439.06
Aug-05-2022,17.51,435.72
Aug-08-2022,17.41,438.93
Aug-09-2022,17.54,435.98
Aug-10-2022,17.7,439.88
Aug-11-2022,18.06,440.16
Aug-12-2022,18.22,440.87
Aug-15-2022,18.43,442.35
Aug-16-2022,17.88,443.07
Aug-17-2022,17.91,439.03
Aug-18-2022,17.46,440.76
Aug-19-2022,17.41,437.36
Aug-22-2022,16.5,433.17
Aug-23-2022,16.18,431.35
Aug-24-2022,15.98,432.05
Aug-25-2022,15.62,433.36
Aug-26-2022,15.66,426.09
Aug-29-2022,15.56,422.65
Aug-30-2022,15.6,419.81
Aug-31-2022,16,415.12
Sep-01-2022,15.6,407.66
Sep-02-2022,15.62,415.97
Sep-05-2022,15.74,413.39
Sep-06-2022,15.76,414.38
Sep-07-2022,15.18,412.01
Sep-08-2022,15.04,414.09
Sep-09-2022,15.6,420.37
Sep-12-2022,15.78,427.75
Sep-13-2022,15.63,421.13
Sep-14-2022,15.15,417.51
Sep-15-2022,15.7,414.78
Sep-16-2022,14.29,408.24
Sep-19-2022,15.1,407.87
Sep-20-2022,15.01,403.42
Sep-21-2022,15,407.05
Sep-22-2022,15.5,399.76
Sep-23-2022,15.14,390.4
Sep-26-2022,14.9,388.75
Sep-27-2022,14.6,388.24
Sep-28-2022,14.54,389.41
Sep-29-2022,14.82,382.89
Sep-30-2022,15.16,387.85
Oct-03-2022,15.42,390.83
Oct-04-2022,15.71,403.03
Oct-05-2022,15.06,398.91
Oct-06-2022,15.98,396.35
Oct-07-2022,15.65,391.67
Oct-10-2022,15.76,390.12
Oct-11-2022,15.65,387.95
Oct-12-2022,15.88,385.88
Oct-13-2022,15.74,389.15
Oct-14-2022,15.81,391.31
Oct-17-2022,16.18,398.48
Oct-18-2022,16.39,399.84
Oct-19-2022,16.74,397.73
Oct-20-2022,16.75,398.77
Oct-21-2022,16.52,396.29
Oct-24-2022,16.96,401.84
Oct-25-2022,17.48,407.61
Oct-26-2022,17.31,410.31
Oct-27-2022,17.25,410.19
Oct-28-2022,17.21,410.76
Oct-31-2022,17.69,412.2
Nov-01-2022,17.71,414.61
Nov-02-2022,17.1,413.39
Nov-03-2022,17.18,409.55
Nov-04-2022,17.81,416.98
Nov-07-2022,17.7,418.34
Nov-08-2022,17.98,421.61
Nov-09-2022,17.98,420.34
Nov-10-2022,19,431.89
Nov-11-2022,18.69,432.26
Nov-14-2022,19.01,432.86
Nov-15-2022,18.94,434.44
Nov-16-2022,19.03,430.17
Nov-17-2022,19.01,428.38
Nov-18-2022,19.06,433.33
Nov-21-2022,19.07,433.06
Nov-22-2022,19.28,436.22
Nov-23-2022,19.2,438.82
Nov-24-2022,19.16,440.84
Nov-25-2022,19.16,440.73
Nov-28-2022,19.04,437.85
Nov-29-2022,20.12,437.29
Nov-30-2022,19.21,440.04
Dec-01-2022,19.75,443.96
Dec-02-2022,19.95,443.29
Dec-05-2022,19.8,441.47
Dec-06-2022,19.87,438.92
Dec-07-2022,20.1,436.2
Dec-08-2022,20.02,435.47
Dec-09-2022,20.4,439.13
Dec-12-2022,20.18,436.98
Dec-13-2022,20.3,442.6
Dec-14-2022,20.18,442.51
Dec-15-2022,20.02,429.91
Dec-16-2022,18.82,424.74
Dec-19-2022,19.27,425.87
Dec-20-2022,18.98,424.18
Dec-21-2022,19.26,431.44
Dec-22-2022,19.47,427.26
Dec-23-2022,19.4,427.45
Dec-26-2022,0,0
Dec-27-2022,19.64,428
Dec-28-2022,19.98,427.46
Dec-29-2022,20.08,430.35
Dec-30-2022,20.04,424.89
Jan-02-2023,20.98,428.95
Jan-03-2023,20.56,434.18
Jan-04-2023,20.62,440.19
Jan-05-2023,20.52,439.33
Jan-06-2023,20.18,444.42
Jan-09-2023,20.48,448.35
Jan-10-2023,20.38,445.71
Jan-11-2023,20.62,447.41
Jan-12-2023,20.64,450.22
Jan-13-2023,20.54,452.54
Jan-16-2023,20.8,454.63
Jan-17-2023,20.62,456.46
Jan-18-2023,20.86,457.53
Jan-19-2023,20.48,450.45
Jan-20-2023,20.88,452.12
Jan-23-2023,21.06,454.49
Jan-24-2023,21.32,453.38
Jan-25-2023,21.12,452.07
Jan-26-2023,21.14,453.98
Jan-27-2023,21.1,455.17
Jan-30-2023,20.2,454.4
Jan-31-2023,20.44,453.21
Feb-01-2023,20.54,453.09
Feb-02-2023,20.52,459.2
Feb-03-2023,20.62,460.77
Feb-06-2023,20.4,457.16
Feb-07-2023,20.4,458.19
Feb-08-2023,20.4,459.46
Feb-09-2023,20.24,462.31
Feb-10-2023,20.3,457.89
